dni_hashed,legajo_hashed,tipo_arma,marca_arma,nro_arma,estado_arma,observacion_arma,fecha_asignacion_arma,fecha_devolucion_arma,dependencia,region
10fda484087c02f9e00ba6bb71c7ef0e54a79f41d8d37abb94f628eb16c2d1a8,d6600081a796edd7c011aac0a03a835a59c25e7cca1ff51c9bc16a651f3bd97a,Pistola,Bersa,ARM-00015,Operativa,Sin observación,2025-03-16,,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza
5f9a7608f21f05ceea6ead9c2e9d5b17f3e2ba385bfdd8b22e9d4489683fd333,09a5beffb3127f102d854eeaa20130f31c33386862c0848f5e8583b766a38c4f,Fusil,Glock,ARM-00016,Operativa,Sin observación,2025-03-23,,Departamental Nº 16 Los Flores (Capital),Capital
62ec3b2748eff876e07a7d31a8cfb00f2a8345175060a26353ddc9878326facd,a5e77b966f5b47592502c65c534248cb370382015c6f46e7a2ddf9cfafe66011,Pistola,IWI,ARM-00017,En mantenimiento,Desgaste en cañón,2024-10-26,,Departamental Nº 11 Monte Quemado,Monte Quemado
46bf192d5addd470eecb8efb87f6a14b8fc84e6866d86aa92fba0e294108285c,3444a13c096e7f85719f20436809712b1de6d38c211da42328104b497d555848,Pistola,IWI,ARM-00018,Operativa,Sin observación,2024-12-20,,Departamental Nº 5 Zona Este (La Banda),La Banda
3b3fa5fc9d9b36016b014dc2607a4b14760d70fd493ac015b39483eda8574530,fbb9bffe28ec7c6cbe4355eb8d925711b65063b03c8774d05331154451805ecd,Escopeta,IWI,ARM-00019,En mantenimiento,Requiere revisión anual,2024-07-18,2025-04-06,Departamental Nº 3 Zona Sur (Capital),Capital
50f1a6cded3d0ac42ef71aab2fc4f9a46d0c5e189fdd646a63312f0a9a46d865,fbc4e575c584aa9631af6fd8efc410746db4a07e011ccbc02c7cb93851d158da,Fusil,Remington,ARM-00020,Operativa,Sin observación,2025-03-10,,Departamental Nº 9 Loreto,Loreto
dd06492139e00c8db62b86064e2f94ecae4d9975029f6ee8026bc9eee3d236a1,1df4e9c709dd631a2707feff1be308ef1eea32921c184d3e3d242aab93746679,Fusil,Remington,ARM-00021,Fuera de servicio,,2024-01-12,2024-08-15,Departamental Nº 13 Añatuya,Añatuya
3b5abb0441d5c5e691859d6f7ca2cfe6696267dd9f878e0617c12f87ec6a5d5f,298760f587b3ef1a605076e02d191b50d59f9b637d211db801d5ccb6d76d6a1a,Pistola,Remington,ARM-00022,Operativa,Desgaste en cañón,2024-08-04,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
3a8e17b99fc74036f9a0b782b6456581a3b63237c2a431ce4daf8f4c5b347f3c,914b20eb394d86770ea13004bf9a718a672b7fb8cb7a3d132938c584a4cce812,Escopeta,Bersa,ARM-00023,Operativa,Sin observación,2024-10-15,,Departamental Nº 9 Loreto,Loreto
3d4fb317c7f21d59252f684faf08cc8dcfb91d5eab98480633e1d56c54f6cf56,306e49224317232a4cb2003af296a0c91b2b6be40952789e9d9fcff8e625a3f4,Pistola,Bersa,ARM-00024,Fuera de servicio,,2024-10-10,2025-04-05,Departamental Nº 6 Las Termas,Las Termas
f0fe22911ea1dd6db5279e7c86b8ff2243a7453371fd7e38361f5716215b885e,dbb15fa63a054bc3dc1620bf4983c12252b98f63c28e32e4624febfb588ef32c,Escopeta,Glock,ARM-00025,En mantenimiento,Requiere revisión anual,2024-05-20,2025-03-22,Departamental Nº 14 Pinto,Pinto
e2459390bbeee2b642ce661026eafe3121c1fb75e16a8167b61be795fe3967b6,30fdbd80338aecdb0bdec24275753aa4d9b58506e6fa4ac83e549e59d2d901f4,Pistola,IWI,ARM-00026,Operativa,Sin observación,2024-10-17,,Departamental Nº 6 Las Termas,Las Termas
2786682faa85b2250bacd644450dacd94235dc68213ffaf04de4f77fea0066b0,c340070b6ea3d3d093082fc599eb504dcf8f6c2ac3fd0ca0f6cc3fdb61d46de9,Pistola,IWI,ARM-00027,Operativa,Sin observación,2025-05-25,,Departamental Nº 9 Loreto,Loreto
aaf5dd640c51f57b1de393a79183c58e5f8cd5b9a9b783cd29810d1be488108d,783cca7a45163b49c8d002a99e3e68b7abe06cb433e06bf5b47228ce5defdafa,Pistola,IWI,ARM-00028,Operativa,Requiere revisión anual,2024-08-22,,Departamental Nº 14 Pinto,Pinto
46c7f93410e50cffb852b20c395287b971e4fe23c078a9464c1efe66b6a7aa42,d487174e02e3e918b324cda2a7f261e955230bb01dd70141f8918fde68690d4a,Escopeta,IWI,ARM-00029,Operativa,Sin observación,2025-02-08,,Departamental Nº 11 Monte Quemado,Monte Quemado
8eaad5cc08118a7b0a824e81d1399acc99fce4db1c3173a5d29177743247b8c7,654581caedf613a42d58b72525820da79414368ef295e60131431884b4b06847,Pistola,Bersa,ARM-00030,Operativa,Requiere revisión anual,2024-08-14,,Departamental Nº 4 Zona Oeste (La Banda),La Banda
3617686b1a2fd5c5d9b72ae2bd33e603f3f338df36c14fe86ca68b8d9c21adb2,4df2c3219697c4d5e94db2813277716ea3b592276e56187279317885db4b8343,Pistola,Remington,ARM-00031,Operativa,Sin observación,2025-05-21,,Departamental Nº 8 Fernández,Fernández
af40db2f4170290c9bbf33e181c72d5df2c8bd28596b1f52bbde4d071eb85378,e20d57edb45479c16e77889f83e6e442b918d40b46c599855f28913f2f36d632,Pistola,Glock,ARM-00032,Operativa,Sin observación,2025-01-16,,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza
06cd93a16bd79cb5ee2daa81008e670d9fe2bf79b681e6a9af336849044fd126,16a7555098859d17b169c0f0516cf63f2d3af3c9c04144cb5ab8969098eb3d4c,Escopeta,Bersa,ARM-00033,Operativa,Sin observación,2024-10-02,,Departamental Nº 12 Quimilí,Quimilí
1a78ed4495a9da8ff640e3af3766e29a7b222a4c885a936d01d70167a1ae164b,e11717163bbf1987354ae477c77d2cf181b57effdfefd3f5d1e4176789e6c44b,Escopeta,Bersa,ARM-00034,Operativa,Requiere revisión anual,2024-11-14,,Departamental Nº 8 Fernández,Fernández
7bb1966c19666c72e5b197a7beb3c5cf17b6ae87f9f440554755160f031d04e0,26798aef5d2a5301fca73fb0247ea23a5f0d6de3b26225d845b7a67bd7cb0136,Escopeta,IWI,ARM-00035,Operativa,Requiere revisión anual,2025-03-27,,Departamental Nº 6 Las Termas,Las Termas
0b465be13cfa843357601323303b42dc97cf19c69f0ab3968483ed282d9e9a89,d48d1a72ad522e26c95b96bc5eee1b12aa313308331100ff36b278fc52f81a1b,Pistola,IWI,ARM-00036,En mantenimiento,Desgaste en cañón,2024-09-28,,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza
612d06e717c29877f5a2fb4f68f560d4bb225af65a0638cd91adcbc034039e13,646228a4ae84dcbe205295df165a361e2bc71a271674694a74c6a156c41bac45,Pistola,Bersa,ARM-00037,Operativa,Desgaste en cañón,2024-06-05,,Departamental Nº 6 Las Termas,Las Termas
f9c62ca1b488884ba683fc0f840623910d14166d428c0b3f3c85d05aa43ce7b5,53f601d1b214dd1d1c5e52382143e2bd571245f7eb6538f07318eddd7675765d,Pistola,Remington,ARM-00038,Operativa,Sin observación,2025-04-19,,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza
ebe4093b50dd1864df2c824bd8d3b62d14a1d49988374c16e47814a0046d50ec,6eed6438ba1cdb9bb9b67e5728d028b4a23a8d760a6cf4b8dc67388ca534ec7a,Pistola,Glock,ARM-00039,Operativa,Requiere revisión anual,2024-12-09,,Departamental Nº 6 Las Termas,Las Termas
52538ab2e607b993b722f07cbeffe8a516d7747c40add838dfde982528a944b3,efbc72f57ce767f8875e9dffc27640ee1ac86fa35a692f83cf6be58b7bb139ba,Pistola,Bersa,ARM-00040,Operativa,Sin observación,2024-09-25,,Departamental Nº 1 Zona Norte (Capital),Capital
7884af9c402fb97e1af157df2beeebf9c6f6b64f256d873131708683de730ff7,69c66425627f3d42c546a9fb21598b27b82b368024e19088246e419624bb4afc,Pistola,Glock,ARM-00041,Operativa,Requiere revisión anual,2025-01-01,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
62aee823c5efe03a559abe818b8c8cf3060cc9416382223b883c937244130af2,10bcf71b7c141457f924bc8a1c0db4789e16c3e5f8d96ed7ea1434c87e0c68a1,Fusil,Glock,ARM-00042,Fuera de servicio,,2024-12-23,,Departamental Nº 5 Zona Este (La Banda),La Banda
3bee1de66eb0bbe17f0321536234faf4a37b71280c1a2df66cee608410634cdd,30ac8bf7a4d42884f79a049eff06e228b4959d56c6b5a9029ea0ba653551de7a,Escopeta,Bersa,ARM-00043,Operativa,Sin observación,2024-08-09,,Departamental Nº 5 Zona Este (La Banda),La Banda
7f1d86675eaff62c2884b7248f14c65d3b08315263d02b5022bf9a7c2e6791cc,c89607c5ea6fb6f38a6cd012ee6392d0f962def6e68cb0df2aca05bdc5602401,Fusil,Glock,ARM-00044,En mantenimiento,,2025-01-19,,Departamental Nº 1 Zona Norte (Capital),Capital
1c07409d5c838e5ada0fe11defa010aa2da95949e02cb797da8223fac90a0ad7,07ab45da85e75d90dd748df7977cb0222b68dc28637afef2d97c21f2f806698c,Pistola,Glock,ARM-00045,Operativa,,2024-10-24,,Departamental Nº 4 Zona Oeste (La Banda),La Banda
16a86a2a6a30709dd5de89068c478457bbf20586c1f79d2b851a1fb4f6d789ab,6562b8778ca126131b1293e414862bc83a11ec544de78feb89947b8cfe847ed1,Fusil,IWI,ARM-00046,Operativa,Desgaste en cañón,2024-12-09,,Departamental Nº 11 Monte Quemado,Monte Quemado
70722df261ca9c0eaafebfd9706a69e0633d1bc212169a52eb803d9cdb588e8f,7f2b8106d8835d3744e47eeb4dbd704547d04a373a40f1d741c201a618891d66,Pistola,Remington,ARM-00047,Operativa,Sin observación,2025-03-18,,Departamental Nº 1 Zona Norte (Capital),Capital
c398a96624f67d745a0f647d7b16fcaeb61d31c894781a8d18fee032cdb1c04f,29f6859f87b7022355bfa7b45a4b078da11eb3bc87b600c4a5df30ed1b3d586f,Fusil,IWI,ARM-00048,Operativa,Sin observación,2024-04-25,,Departamental Nº 11 Monte Quemado,Monte Quemado
4706b34d2907a6bfc1fe5f060333d0b904948cfec70495cc5971e27504078805,6ac1a7ff2df7517e0556fb3add0316c0c2b77fd013e94171c85b635012533919,Pistola,Remington,ARM-00049,Operativa,Sin observación,2024-10-29,,Departamental Nº 14 Pinto,Pinto
10fafacbb5ff3f4df6dbca486682e40b8b7f137e016a0b3e39260bbc91feda01,31963aec7471b68c4df7cc4cc4fe4a3e5208e760fc793b4ac9a498273734008a,Pistola,Glock,ARM-00050,Operativa,Sin observación,2024-09-29,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
eea4fd57ab4b500a346eb4d922c5173f2bb27f106aa790af59c28b6f8a6da3db,af4abc809b08f17c320d43ea15141e82e1b78276a3d638f5746c75126c0c9cb4,Escopeta,Bersa,ARM-00051,Operativa,Sin observación,2024-07-29,,Departamental Nº 9 Loreto,Loreto
fc837df89c489c51beb809c7e72d963fbf04e8d21de192905dd763c7e93a6a32,be7f3ab4d8bb67c3f3d7f316150bb006d24217acc94966113fe9222d98998a48,Pistola,Remington,ARM-00052,Operativa,Desgaste en cañón,2024-05-02,,Departamental Nº 2 Zona Centro (Capital),Capital
3a31855c752ee1bce75783efa5ec3ab95a3c20e94331ebe0dce81381a67d2f1a,3a7dde6b3aae34e253b9e9b8ab4e416cf3d19145c8d68b15e08d1597c97fafc0,Escopeta,IWI,ARM-00053,En mantenimiento,,2025-01-21,2026-11-08,Departamental Nº 2 Zona Centro (Capital),Capital
625cedf9b9d868f4a824a69164702105b1e12c2fdc5a3fcb4c9f7bb6e2a0c551,5f93c8facd2aa9dc95df1b9a83c92c782f8a5ab74b81f25aab33cf68780d2f4b,Pistola,Remington,ARM-00054,En mantenimiento,Desgaste en cañón,2024-06-18,2025-12-24,Departamental Nº 11 Monte Quemado,Monte Quemado
30a960c2a084c310313ea1ce063d41af6274c9ace8baf779e703e8c1d94d4783,9753764c550e5f82643d8b8d07af827858b440cfbd8c352daa657468555fcd53,Pistola,Remington,ARM-00055,Operativa,Sin observación,2025-03-07,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
a84f63a294c08e5d7e2e1c27002e461546342e463841fb0142fa35ed4765e189,ccfbd8120afa2c8b69cf430f41393c45e1b71e569f4b2cb130ed942af72ff39a,Fusil,Remington,ARM-00056,Operativa,Sin observación,2025-08-18,,Departamental Nº 6 Las Termas,Las Termas
79d00d55108e1dc87a7eaa8aff9d521e5fe3e41ea631d84e06ccb5434ddaed88,7a4cef0111d5c719d8de61b34cbb4d5b63271fab48533dbf001d0f8e21502659,Pistola,Bersa,ARM-00057,Operativa,Sin observación,2024-06-27,,Departamental Nº 16 Los Flores (Capital),Capital
0b70987c6d9841937bdf35c1c845c1cdf368beb5e005626e035d40e76aababc9,aaad8b8fff7fab4eb514647ea23a15f1c6ac98ac55021c64f40cb38551343a09,Escopeta,Glock,ARM-00058,Operativa,Sin observación,2025-03-02,,Departamental Nº 12 Quimilí,Quimilí
c3a0f0531c66c891fbbb96bb910c3b81a489aa90b8edd7f826543bd1ad80749c,1cb1b4c64eaafc31cedf69d6c82ac529074ac2b53accfc5ae47efc1914c11259,Pistola,IWI,ARM-00059,Operativa,Sin observación,2025-02-16,,Departamental Nº 16 Los Flores (Capital),Capital
d85a2735d89e2707d1ccecd7673585d5d623119934369313815649ede8de91f4,54697f8bae18cb9588d290b1e5ba64843c087efaef0009f010ea3aac37d061d9,Pistola,IWI,ARM-00060,En mantenimiento,Desgaste en cañón,2024-07-13,,Departamental Nº 2 Zona Centro (Capital),Capital
373ffa9fe5bbe6591a23a1c133792d29fa450171a45100280dce37c92cb00793,32aa6f3eac9430b4034c2beccc6546f4bb9011a19387a07416d0aea7a83b9cc2,Pistola,IWI,ARM-00061,Operativa,Sin observación,2024-05-10,,Departamental Nº 6 Las Termas,Las Termas
d209b0dd6c98a7bcec614f8454ee10d9513bd8fbb206c0d71756e242e374a049,eb01378c11821b4b4308ad20a721e29149aef8be7e19e1cc62becb005f050b72,Pistola,Glock,ARM-00062,Operativa,Sin observación,2024-06-11,,Departamental Nº 3 Zona Sur (Capital),Capital
dbc0d78961d5ca682d12bc796dadbf66a4e91411c4ca4d7e89aea37a904506ab,6984002349656c12b0ffd46c053d153f5bf3ed12c460dad2145e5dd7c993bcea,Pistola,Remington,ARM-00063,Operativa,Sin observación,2024-10-09,,Departamental Nº 7 Frías,Frías
ffba727964bd7c0ded41b8dbb43851d91c454d3f08fc710a261d5618dcedf5ca,5c00300c277f4f6219ad8ebd259888a5be71d966f83ec14ebdeff912bf79cb50,Pistola,Remington,ARM-00064,Operativa,Desgaste en cañón,2024-06-27,,Departamental Nº 11 Monte Quemado,Monte Quemado
e2d750407801e713586f0cdb1ce45e09eb7bbf5fd995ae6a39d8827951d81973,e55f65015725d6c4315cffe09d804f2d8606553c72f06f981017d4a71dba9939,Pistola,Bersa,ARM-00065,Fuera de servicio,,2024-10-11,,Departamental Nº 9 Loreto,Loreto
41cdaba55760bab958d300bd1a4896db17c24b1cfb95874044f07c99da0c41aa,08be552ca9aecba57bbce269903f4b1d0af6bb40f9d2b91c8a70352cc247ae7d,Pistola,IWI,ARM-00066,Operativa,Sin observación,2025-01-04,,Departamental Nº 7 Frías,Frías
5359b62e4c5c5ca53d064accb99744051944f929c76facfb8b576aa76f7901a4,d68dff5d465e5f0abe89ebf49b3af9c1e09c8736fcf28f7e907a65fca63659cc,Pistola,Glock,ARM-00067,Operativa,,2024-02-20,,Departamental Nº 4 Zona Oeste (La Banda),La Banda
51849bcbd3ab3fe65db1c4dc011e5d8db63b095512b2a61bae04ca51aa5ab497,07113e52b3819e352a7e2306eb13ae9a329e5f7299ca4ee53fdf6e0f413c5108,Escopeta,Glock,ARM-00068,Fuera de servicio,,2025-06-11,,Departamental Nº 8 Fernández,Fernández
fbee032c1c008952416aee9cef495f605e263593ec5a9ada27db9eef6d1c4034,d7e70d7582e43e2f5be58b6773557537b2179473357de55c40b7bb4ac86e5cf4,Escopeta,Remington,ARM-00069,En mantenimiento,Desgaste en cañón,2024-04-21,,Departamental Nº 3 Zona Sur (Capital),Capital
906d2bb70bbf6892827bea73f01f4b58526e861e955f85c359cbeb161c371c91,8ab4112cffe9784614845f03887c1e7377f47e9656727ab96444d2b30e731f9a,Pistola,IWI,ARM-00070,Fuera de servicio,Desgaste en cañón,2024-09-20,2026-01-05,Departamental Nº 13 Añatuya,Añatuya
8da5a33d77260860b4328a3479f304fa437aeb9120d94f1aa50532adfb29fd1c,b1e6ab572b791bd606495fc63b51f3b0ca8720e1a8774a4330b76ee2b76ee80c,Pistola,Glock,ARM-00071,Operativa,,2024-02-24,,Departamental Nº 8 Fernández,Fernández
00166c4fd9859d20b20645a52dde4a84deeede3f3bc6013dc1cb7743c3d0f114,d227b069b04699058c15ab5f6a0b78fa4191ccba165938a39b5677c0164b1fc5,Escopeta,Glock,ARM-00072,Operativa,Sin observación,2024-10-22,,Departamental Nº 5 Zona Este (La Banda),La Banda
265e735c177211319c1ee5ddeaf60dc12ba131793c51378cbd6b8d1f5d370bff,2059a1ea11afa29151eccddedf1c95090f629a1b989516adce6ad357d6a3fbfe,Pistola,IWI,ARM-00073,Operativa,Sin observación,2024-09-21,,Departamental Nº 16 Los Flores (Capital),Capital
ffafb3406a7821469f0ff49b4518430b83b1c07532da7bad4d3c3531089c6c1d,1900aacddd35de6acccc0e07933fb686e6b16f5c842d12eb943c122f23c5c41f,Pistola,Remington,ARM-00074,Operativa,Sin observación,2025-08-09,,Departamental Nº 16 Los Flores (Capital),Capital
a91f08a2e3d32e23429ba734d44b39bd03755550d19fe6979e487a40727be088,45cb29560fee3dfaa1298fc6d3c09e9fd8aea7ae4c44e31d05e1d7e17ac61430,Pistola,Glock,ARM-00075,Operativa,,2024-03-09,,Departamental Nº 13 Añatuya,Añatuya
bda0d46bddb8590857ba8dc83578128c04f953b6d3f1eab24e7e13b0af9018c2,1c12a2b9ea98f5eb6226df6193704a77c9b0f89c83242cc984e3202dd3b59b5f,Escopeta,Glock,ARM-00076,En mantenimiento,Desgaste en cañón,2024-11-10,,Departamental Nº 16 Los Flores (Capital),Capital
9f87f36ddf83cdb9bd07abc9cb2586abb8e5eed2c782679ecca734a7b6ca3150,93c40538ebe702f4fa61bfe774af0314de978080a803de8c2eb502a9b694919d,Pistola,Glock,ARM-00077,Operativa,Sin observación,2024-08-20,,Departamental Nº 5 Zona Este (La Banda),La Banda
42aabdca8e404cf034f57e23da7ba0ca72de394124152224e298ba5d7c01948d,7b57ea0d3a7f9adf3ae832e00bf6d2fd7e4ec6f67cd967a5755c09f755e88a3a,Fusil,Glock,ARM-00078,Operativa,Desgaste en cañón,2025-01-25,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
6362ad19765d3219f3cb234d8aab5875a43d0a091028b1ee013e78ab10004e8a,b388df9deb3bde0a59edb129e3a0169631e279eb00e0732d8fbc55b2466b320d,Pistola,IWI,ARM-00079,Operativa,Sin observación,2024-04-01,,Departamental Nº 14 Pinto,Pinto
1cafe287b22131e7be0b1af26e620bf020f1a9df33e0dc7be32079b2c0b5d427,bc119c73d4bd8c106b4fb6ec01b0791270508ff3c4632fb83f5d25a36791c8be,Escopeta,Remington,ARM-00080,En mantenimiento,Requiere revisión anual,2024-05-17,,Departamental Nº 9 Loreto,Loreto
0a4edfc3dcec67cd4b82306b50df6139602ac3a2f852942d311534c8f8f823bc,e3edccf44b3e32675c5e8c6f7a03f289e9acb0a142329d4d3198bec4ee370a4f,Pistola,IWI,ARM-00081,Operativa,Sin observación,2024-07-17,,Departamental Nº 13 Añatuya,Añatuya
9791f8e04bc5edeefd4d75435ca3077f84f35dbad6c6f9ef16ca36dc3744a0f8,fae3898acc7de8d63413985b3fb8257cc0471c59a57f30f4f82109b620042314,Escopeta,Bersa,ARM-00082,Operativa,Sin observación,2025-02-04,,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza
22501b7f1fbb2e0f69c2a557eb0d4579a2e03432e5aa57d314be7710a6ab7d4a,00b772026dfa9c09252c96d67e837cca579e7f9b9dce295847383202705d2d1c,Fusil,IWI,ARM-00083,Operativa,Sin observación,2024-12-19,,Departamental Nº 2 Zona Centro (Capital),Capital
a14703e95dcdbc0c55c022a6c8eb2f14e99f21e00a4940efa43e01d7ff66bc9a,24b83d150576eeaa45bb585018be109cbfdd2578888dfa7d81731add8b018b87,Escopeta,Remington,ARM-00084,Operativa,Sin observación,2024-07-13,,Departamental Nº 9 Loreto,Loreto
aa3a7e7235d45b6b1a4be546a4866033e4961c480d03d65eb3ca9a38419cfd1c,4859aad99a8fdcf2fa14463f7c345c669673e9f7b9d3497c376e47d7f67a221b,Escopeta,Remington,ARM-00085,Operativa,Sin observación,2024-06-15,,Departamental Nº 1 Zona Norte (Capital),Capital
7e55eb34de0e71d1175b471da9e48a41e499ae8f6282b54514659825074ce1bd,0cf7f05e8b73fd4af88aa8209188361587ad66c7ccaf17434ba9769171325955,Fusil,Glock,ARM-00086,Operativa,,2025-08-28,,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza
972db9de2ca4dc99bb29734a7d6a81d2bb57b1cde90789dd47300cc74c7ce7f6,72871d85d314fb3a6bb68518b3458ca75fce009f55ac24215f02b1b72a474b44,Escopeta,Glock,ARM-00087,Operativa,,2024-11-13,,Departamental Nº 14 Pinto,Pinto
9648fe83dcf0c64716373e181b408d680e00bf04c0819679c7349ca7c893000c,849fe4c6c4c1188c7f3da2a42ad85bbb323b1c4238d867363aaec942dcfbbcec,Escopeta,Glock,ARM-00088,Operativa,Sin observación,2025-06-19,,Departamental Nº 7 Frías,Frías
756daa9e38667bd00b427bf5d60feb87d590af54bbd4bd08a50eed12faf00964,72422813ccd9638a279b7164d87032bc1655c51fa6fb89ec02dfc5a572afe789,Escopeta,Bersa,ARM-00089,Operativa,Sin observación,2025-09-07,,Departamental Nº 11 Monte Quemado,Monte Quemado
719490274e8c75b056db6b64c93d429b4bc71fba90b410d07a61529792a49d4a,aad338a0c260c0278060b0f1eac0ec36f77dc9cb6a04e57e79f068c9f10d21a8,Pistola,Remington,ARM-00090,Operativa,Sin observación,2024-11-05,,Departamental Nº 16 Los Flores (Capital),Capital
282ca2ef9ba739a5ddbb2d7e42c2cc8723e2ad759581f037a000694c554d8f46,ba42602f350fd3728d68f2146d11f9c562d6df6eec47529e35d78095e342b7f6,Pistola,IWI,ARM-00091,Operativa,,2025-02-15,,Departamental Nº 1 Zona Norte (Capital),Capital
ea5e4bc0dc6616bb8ca91ee5a016c5a3a49ab057e60e6dc5d4c031b377a9e846,f7b8409c79391b27c8a7c8800aaf5cc47468a092ba193d25f1bf4e5ec9d1cfda,Pistola,Bersa,ARM-00092,Operativa,Sin observación,2025-02-12,,Departamental Nº 13 Añatuya,Añatuya
10819b708109cf72c596029a66a6f9c2c5491e79789ae6674d76e3b43b871ad7,7c7df51a16a644abca9544bb76454f4f5a3fd420670d1dbbb5e074698c8a3166,Pistola,Remington,ARM-00093,Operativa,Sin observación,2024-03-27,,Departamental Nº 12 Quimilí,Quimilí
5a199c79d9c6ee108095669d21bad94236e0b968e1efbb8c30583a4d339cd543,001181b899cf8abff8030a93524983fe0388dfe199f8abc69633a9a96ec31d85,Pistola,IWI,ARM-00094,Operativa,Sin observación,2024-11-16,,Departamental Nº 4 Zona Oeste (La Banda),La Banda
