id_control,fecha_control,dependencia,region,controles_realizados,anomalías_detectadas,personal_asistentes,legajo,dni,apellido,nombre,fecha_nacimiento,edad,jerarquia,fecha_ingreso,antiguedad_anios,estado_funcionario,telefono,observacion_funcionario,tipo_arma,marca_arma,nro_arma,estado_arma,observacion_arma,fecha_asignacion_arma,fecha_devolucion_arma
28,2025-08-30,Departamental Nº 14 Pinto,Pinto,2.0,2.0,8.0,LEG0028,42937902,Sánchez,María,1970-02-28,55.0,Agente,2017-07-29,8.0,Activo,3854-XXXXXX,Próximo a retiro,Pistola,IWI,ARM-00028,Operativa,Requiere revisión anual,2024-08-01,
29,2025-03-01,Departamental Nº 11 Monte Quemado,Monte Quemado,4.0,0.0,5.0,LEG0029,27587768,Pérez,Luis,1977-04-18,48.0,Agente,2012-11-28,13.0,Activo,,,Escopeta,IWI,ARM-00029,Operativa,,2025-01-18,
30,2025-07-06,Departamental Nº 4 Zona Oeste (La Banda),La Banda,5.0,1.0,2.0,LEG0030,32248352,Rodríguez,María,1999-03-17,26.0,Agente,2019-06-11,6.0,Activo,3854-XXXXXX,En licencia médica,Pistola,Bersa,ARM-00030,Operativa,Requiere revisión anual,2024-07-24,
31,2025-09-24,Departamental Nº 8 Fernández,Fernández,5.0,3.0,8.0,LEG0031,28913742,Sánchez,Lucía,1967-09-08,58.0,Cabo,2021-09-29,4.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00031,Operativa,,2025-04-30,
32,2025-10-24,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,5.0,1.0,8.0,LEG0032,43988395,Gómez,Sofía,1995-02-14,30.0,Oficial Ayudante,2014-08-01,11.0,Activo,,,Pistola,Glock,ARM-00032,Operativa,,2024-12-26,
33,2024-12-11,Departamental Nº 12 Quimilí,Quimilí,5.0,1.0,6.0,LEG0033,22155748,López,José,1975-12-14,49.0,Agente,2020-07-17,5.0,Activo,3854-XXXXXX,,Escopeta,Bersa,ARM-00033,Operativa,,2024-09-11,
34,2025-01-03,Departamental Nº 8 Fernández,Fernández,5.0,2.0,7.0,LEG0034,30578023,López,Luis,2002-12-26,22.0,Agente,2020-02-05,6.0,Inactivo,,,Escopeta,Bersa,ARM-00034,Operativa,Requiere revisión anual,2024-10-24,
35,2025-05-21,Departamental Nº 6 Las Termas,Las Termas,6.0,1.0,6.0,LEG0035,31606243,Sánchez,Laura,1967-06-03,58.0,Cabo Primero,2023-06-12,2.0,Activo,,,Escopeta,IWI,ARM-00035,Operativa,Requiere revisión anual,2025-03-06,
36,2025-01-06,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,5.0,1.0,8.0,LEG0036,41201723,Fernández,Laura,1987-07-16,38.0,Oficial Ayudante,2014-06-28,11.0,Activo,3855-XXXXXX,,Pistola,IWI,ARM-00036,En mantenimiento,Desgaste en cañón,2024-09-07,
37,2025-01-01,Departamental Nº 6 Las Termas,Las Termas,3.0,0.0,7.0,LEG0037,33799990,López,Sofía,2003-12-16,21.0,Sargento Primero,2021-01-04,5.0,Activo,,,Pistola,Bersa,ARM-00037,Operativa,Desgaste en cañón,2024-05-15,
38,2025-09-30,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,6.0,0.0,8.0,LEG0038,31292148,Sánchez,Juan,1980-05-09,45.0,Cabo,2023-02-27,3.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00038,Operativa,,2025-03-29,
39,2025-06-29,Departamental Nº 6 Las Termas,Las Termas,,1.0,8.0,LEG0039,33691164,Pérez,Sofía,1985-12-21,39.0,Sargento Primero,2015-09-11,10.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Glock,ARM-00039,Operativa,Requiere revisión anual,2024-11-18,
40,2025-06-15,Departamental Nº 1 Zona Norte (Capital),Capital,3.0,2.0,2.0,LEG0040,36541471,Gómez,Luis,1972-08-12,53.0,Sargento Ayudante,2010-02-24,16.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Bersa,ARM-00040,Operativa,,2024-09-04,
41,2025-07-25,Departamental Nº 15 Ojo de Agua,Ojo de Agua,9.0,0.0,7.0,LEG0041,33291666,López,Laura,1972-06-09,53.0,Sargento Ayudante,2018-08-23,7.0,Activo,,En licencia médica,Pistola,Glock,ARM-00041,Operativa,Requiere revisión anual,2024-12-11,
42,2025-10-05,Departamental Nº 5 Zona Este (La Banda),La Banda,7.0,1.0,7.0,LEG0042,39950800,Díaz,Sofía,1973-04-12,52.0,Sargento Principal,2020-10-28,5.0,Activo,,,Fusil,Glock,ARM-00042,Fuera de servicio,,2024-12-02,
43,2025-03-24,Departamental Nº 5 Zona Este (La Banda),La Banda,2.0,1.0,6.0,LEG0043,34157398,Rodríguez,Lucía,1971-10-22,54.0,Agente,2022-10-28,3.0,Activo,3855-XXXXXX,,Escopeta,Bersa,ARM-00043,Operativa,,2024-07-19,
44,2025-05-05,Departamental Nº 1 Zona Norte (Capital),Capital,3.0,0.0,1.0,LEG0044,24902666,Sánchez,Laura,1969-01-30,56.0,Sargento Principal,2021-04-17,5.0,Activo,3855-XXXXXX,,Fusil,Glock,ARM-00044,En mantenimiento,,2024-12-29,
45,2025-02-17,Departamental Nº 4 Zona Oeste (La Banda),La Banda,6.0,1.0,9.0,LEG0045,27733308,Sánchez,Lucía,1996-01-10,29.0,Cabo Primero,2013-05-25,12.0,Activo,3854-XXXXXX,,Pistola,Glock,ARM-00045,Operativa,,2024-10-03,
46,2025-09-11,Departamental Nº 11 Monte Quemado,Monte Quemado,5.0,2.0,8.0,LEG0046,30880726,Rodríguez,María,1974-06-11,51.0,Sargento Ayudante,2018-08-19,7.0,Inactivo,,,Fusil,IWI,ARM-00046,Operativa,Desgaste en cañón,2024-11-18,
47,2025-04-09,Departamental Nº 1 Zona Norte (Capital),Capital,3.0,1.0,9.0,LEG0047,43468625,Fernández,Luis,1996-12-21,28.0,Cabo Primero,2023-03-16,3.0,Activo,3855-XXXXXX,,Pistola,Remington,ARM-00047,Operativa,,2025-02-25,
48,2025-01-05,Departamental Nº 11 Monte Quemado,Monte Quemado,3.0,1.0,6.0,LEG0048,41225964,Romero,Ana,1980-04-09,45.0,Agente,2021-04-04,5.0,Inactivo,,,Fusil,IWI,ARM-00048,Operativa,,2024-04-04,
49,2025-09-26,Departamental Nº 14 Pinto,Pinto,1.0,1.0,8.0,LEG0049,33775236,Pérez,Juan,1994-11-08,30.0,Agente,2022-02-22,4.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00049,Operativa,,2024-10-08,
50,2025-08-13,Departamental Nº 15 Ojo de Agua,Ojo de Agua,5.0,1.0,8.0,LEG0050,40658401,Díaz,Luis,1981-10-25,44.0,Comisario Inspector,2015-02-12,11.0,Activo,,En licencia médica,Pistola,Glock,ARM-00050,Operativa,,2024-09-08,
51,2025-03-21,Departamental Nº 9 Loreto,Loreto,3.0,2.0,1.0,LEG0051,26846192,Romero,Carlos,1996-07-25,29.0,Oficial Ayudante,2015-03-29,11.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Bersa,ARM-00051,Operativa,,2024-07-08,
52,2024-11-02,Departamental Nº 2 Zona Centro (Capital),Capital,4.0,2.0,9.0,LEG0052,37104132,Gómez,Sofía,1990-09-24,35.0,Agente,2014-04-10,12.0,Activo,3855-XXXXXX,,Pistola,Remington,ARM-00052,Operativa,Desgaste en cañón,2024-04-11,
53,2025-08-05,Departamental Nº 2 Zona Centro (Capital),Capital,7.0,2.0,,LEG0053,24684346,Díaz,Pedro,1989-05-19,36.0,Oficial Principal,2015-11-10,10.0,Activo,3855-XXXXXX,,Escopeta,IWI,ARM-00053,En mantenimiento,,2024-12-31,2026-10-18
54,2025-05-18,Departamental Nº 11 Monte Quemado,Monte Quemado,2.0,1.0,7.0,LEG0054,39858544,Díaz,Juan,2003-03-21,22.0,Agente,2018-07-15,7.0,Activo,,En licencia médica,Pistola,Remington,ARM-00054,En mantenimiento,Desgaste en cañón,2024-05-28,2025-12-03
55,2025-08-26,Departamental Nº 15 Ojo de Agua,Ojo de Agua,4.0,0.0,1.0,LEG0055,36011737,Sánchez,Ana,1993-04-23,32.0,Oficial Sub-Inspector,2010-01-22,16.0,Inactivo,,,Pistola,Remington,ARM-00055,Operativa,,2025-02-14,
56,2025-09-22,Departamental Nº 6 Las Termas,Las Termas,3.0,0.0,2.0,LEG0056,35404302,Martínez,Laura,1976-11-02,49.0,Oficial Sub-Inspector,2010-02-08,16.0,Activo,3854-XXXXXX,En licencia médica,Fusil,Remington,ARM-00056,Operativa,,2025-07-28,
57,2024-12-26,Departamental Nº 16 Los Flores (Capital),Capital,8.0,2.0,8.0,LEG0057,37911322,Sánchez,Pedro,1993-02-01,32.0,Oficial Sub-Inspector,2016-03-05,10.0,Activo,3855-XXXXXX,En licencia médica,Pistola,Bersa,ARM-00057,Operativa,,2024-06-06,
58,2025-10-01,Departamental Nº 12 Quimilí,Quimilí,3.0,1.0,4.0,LEG0058,39651515,García,María,1969-10-30,56.0,Cabo,2012-10-13,13.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Glock,ARM-00058,Operativa,,2025-02-09,
59,2025-05-12,Departamental Nº 16 Los Flores (Capital),Capital,7.0,1.0,6.0,LEG0059,41308105,Sánchez,Ana,1983-08-05,42.0,Cabo,2017-06-13,8.0,Activo,,,Pistola,IWI,ARM-00059,Operativa,,2025-01-26,
60,2025-06-04,Departamental Nº 2 Zona Centro (Capital),Capital,3.0,2.0,9.0,LEG0060,29594271,Díaz,Ana,1999-08-20,26.0,Oficial Principal,2016-03-20,10.0,Inactivo,,,Pistola,IWI,ARM-00060,En mantenimiento,Desgaste en cañón,2024-06-22,
61,2024-12-15,Departamental Nº 6 Las Termas,Las Termas,5.0,0.0,9.0,LEG0061,24115811,Sánchez,Luis,1986-09-10,39.0,Cabo Primero,2012-01-20,14.0,Activo,3854-XXXXXX,,Pistola,IWI,ARM-00061,Operativa,,2024-04-19,
62,2025-02-24,Departamental Nº 3 Zona Sur (Capital),Capital,4.0,2.0,8.0,LEG0062,24188891,Fernández,Sofía,1985-01-15,40.0,Sargento,2022-08-17,3.0,Activo,,Próximo a retiro,Pistola,Glock,ARM-00062,Operativa,,2024-05-21,
63,2025-02-05,Departamental Nº 7 Frías,Frías,7.0,1.0,7.0,LEG0063,25538166,Rodríguez,José,1990-12-04,34.0,Agente,2010-01-02,16.0,Activo,3854-XXXXXX,Próximo a retiro,Pistola,Remington,ARM-00063,Operativa,,2024-09-18,
64,2025-06-02,Departamental Nº 11 Monte Quemado,Monte Quemado,3.0,1.0,8.0,LEG0064,21284382,Romero,Carlos,1969-01-11,56.0,Cabo Primero,2019-03-29,7.0,Activo,,,Pistola,Remington,ARM-00064,Operativa,Desgaste en cañón,2024-06-06,
65,2025-10-24,Departamental Nº 9 Loreto,Loreto,2.0,1.0,5.0,LEG0065,21805808,Sánchez,Sofía,1993-05-21,32.0,Sargento Primero,2016-06-10,9.0,Inactivo,,,Pistola,Bersa,ARM-00065,Fuera de servicio,,2024-09-20,
66,2025-10-24,Departamental Nº 7 Frías,Frías,2.0,0.0,3.0,LEG0066,29685684,Gómez,Sofía,1991-10-22,34.0,Sargento Principal,2022-07-22,3.0,Activo,,,Pistola,IWI,ARM-00066,Operativa,,2024-12-14,
67,2025-01-04,Departamental Nº 4 Zona Oeste (La Banda),La Banda,2.0,2.0,7.0,LEG0067,38326518,Sánchez,María,1996-11-25,28.0,Oficial Sub-Inspector,2010-05-09,15.0,Activo,3854-XXXXXX,,Pistola,Glock,ARM-00067,Operativa,,2024-01-30,
68,2025-09-29,Departamental Nº 8 Fernández,Fernández,10.0,0.0,6.0,LEG0068,30427148,Díaz,José,1996-05-24,29.0,Sargento Primero,2023-02-05,3.0,Activo,3854-XXXXXX,,Escopeta,Glock,ARM-00068,Fuera de servicio,,2025-05-21,
69,2025-01-19,Departamental Nº 3 Zona Sur (Capital),Capital,7.0,1.0,9.0,LEG0069,23037099,García,Lucía,1972-01-07,53.0,Sargento Primero,2012-01-06,14.0,Activo,3854-XXXXXX,,Escopeta,Remington,ARM-00069,En mantenimiento,Desgaste en cañón,2024-03-31,
70,2025-06-30,Departamental Nº 13 Añatuya,Añatuya,7.0,1.0,5.0,LEG0070,24156532,Díaz,Laura,1982-07-21,43.0,Oficial Principal,2012-10-11,13.0,Activo,,,Pistola,IWI,ARM-00070,Fuera de servicio,Desgaste en cañón,2024-08-30,2025-12-15
71,2025-01-07,Departamental Nº 8 Fernández,Fernández,5.0,0.0,7.0,LEG0071,42825271,Pérez,Lucía,1992-05-27,33.0,Agente,2020-01-03,6.0,Inactivo,,,Pistola,Glock,ARM-00071,Operativa,,2024-02-03,
72,2025-06-29,Departamental Nº 5 Zona Este (La Banda),La Banda,7.0,0.0,5.0,LEG0072,28002619,Martínez,Lucía,2001-09-11,24.0,Oficial Ayudante,2020-02-01,6.0,Activo,3854-XXXXXX,,Escopeta,Glock,ARM-00072,Operativa,,2024-10-01,
73,2025-05-28,Departamental Nº 16 Los Flores (Capital),Capital,4.0,1.0,9.0,LEG0073,35578914,Martínez,José,1980-02-21,45.0,Sargento Ayudante,2013-09-05,12.0,Activo,,En licencia médica,Pistola,IWI,ARM-00073,Operativa,,2024-08-31,
74,2025-09-13,Departamental Nº 16 Los Flores (Capital),Capital,2.0,2.0,3.0,LEG0074,34748072,Martínez,Laura,1996-06-18,29.0,Cabo Primero,2015-03-30,11.0,Activo,,Próximo a retiro,Pistola,Remington,ARM-00074,Operativa,,2025-07-19,
75,2024-12-29,Departamental Nº 13 Añatuya,Añatuya,2.0,1.0,6.0,LEG0075,24466134,Fernández,Sofía,1988-01-17,37.0,Sargento Primero,2016-07-29,9.0,Activo,,,Pistola,Glock,ARM-00075,Operativa,,2024-02-17,
76,2025-08-31,Departamental Nº 16 Los Flores (Capital),Capital,0.0,0.0,8.0,LEG0076,21147116,Martínez,Carlos,1985-11-01,40.0,Agente,2014-08-07,11.0,Inactivo,,,Escopeta,Glock,ARM-00076,En mantenimiento,Desgaste en cañón,2024-10-20,
77,2025-05-17,Departamental Nº 5 Zona Este (La Banda),La Banda,4.0,0.0,2.0,LEG0077,23594058,López,Laura,1984-02-20,41.0,Cabo,2016-11-01,9.0,Inactivo,,,Pistola,Glock,ARM-00077,Operativa,,2024-07-30,
78,2025-10-13,Departamental Nº 15 Ojo de Agua,Ojo de Agua,6.0,0.0,9.0,LEG0078,40892578,Gómez,Laura,1990-05-24,35.0,Sargento Primero,2021-07-27,4.0,Inactivo,,,Fusil,Glock,ARM-00078,Operativa,Desgaste en cañón,2025-01-04,
79,2024-12-19,Departamental Nº 14 Pinto,Pinto,3.0,1.0,8.0,LEG0079,32070495,Fernández,Ana,1984-10-10,41.0,Agente,2021-07-25,4.0,Inactivo,,,Pistola,IWI,ARM-00079,Operativa,,2024-03-11,
80,2025-02-01,Departamental Nº 9 Loreto,Loreto,2.0,1.0,9.0,LEG0080,26976610,Rodríguez,Pedro,1982-08-14,43.0,Oficial Ayudante,2020-11-20,5.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,Remington,ARM-00080,En mantenimiento,Requiere revisión anual,2024-04-26,
81,2024-12-21,Departamental Nº 13 Añatuya,Añatuya,6.0,1.0,6.0,LEG0081,32390020,Martínez,Ana,1991-03-19,34.0,Agente,2017-03-30,9.0,Activo,3854-XXXXXX,En licencia médica,Pistola,IWI,ARM-00081,Operativa,,2024-06-26,
82,2025-03-26,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,6.0,1.0,4.0,LEG0082,38740787,Gómez,Sofía,1979-04-24,46.0,Oficial Ayudante,2011-06-30,14.0,Activo,,,Escopeta,Bersa,ARM-00082,Operativa,,2025-01-14,
83,2025-06-18,Departamental Nº 2 Zona Centro (Capital),Capital,3.0,2.0,5.0,LEG0083,33331233,Sánchez,María,1977-04-17,48.0,Sargento Ayudante,2023-04-17,3.0,Activo,3855-XXXXXX,Próximo a retiro,Fusil,IWI,ARM-00083,Operativa,,2024-11-28,
84,2025-04-08,Departamental Nº 9 Loreto,Loreto,4.0,1.0,8.0,LEG0084,28589747,López,Luis,1974-03-24,51.0,Oficial Ayudante,2014-08-02,11.0,Activo,3854-XXXXXX,,Escopeta,Remington,ARM-00084,Operativa,,2024-06-22,
85,2025-03-19,Departamental Nº 1 Zona Norte (Capital),Capital,5.0,1.0,9.0,LEG0085,42289150,Gómez,Lucía,1980-07-09,45.0,Oficial Ayudante,2021-09-25,4.0,Activo,3854-XXXXXX,,Escopeta,Remington,ARM-00085,Operativa,,2024-05-25,
86,2025-10-14,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,5.0,1.0,6.0,LEG0086,29268511,López,Juan,1975-04-08,50.0,Sargento Ayudante,2018-11-18,7.0,Activo,3854-XXXXXX,En licencia médica,Fusil,Glock,ARM-00086,Operativa,,2025-08-07,
87,2025-05-29,Departamental Nº 14 Pinto,Pinto,8.0,0.0,5.0,LEG0087,37262030,López,Luis,1990-01-24,35.0,Oficial Sub-Inspector,2020-01-27,6.0,Activo,3855-XXXXXX,,Escopeta,Glock,ARM-00087,Operativa,,2024-10-23,
88,2025-09-25,Departamental Nº 7 Frías,Frías,8.0,0.0,2.0,LEG0088,31245869,Martínez,Ana,1980-10-26,45.0,Cabo,2013-11-29,12.0,Activo,3854-XXXXXX,,Escopeta,Glock,ARM-00088,Operativa,,2025-05-29,
89,2025-10-05,Departamental Nº 11 Monte Quemado,Monte Quemado,6.0,1.0,6.0,LEG0089,28074037,Sánchez,Luis,1970-06-07,55.0,Agente,2015-01-03,11.0,Activo,,,Escopeta,Bersa,ARM-00089,Operativa,,2025-08-17,
90,2025-03-10,Departamental Nº 16 Los Flores (Capital),Capital,3.0,1.0,3.0,LEG0090,27711634,Pérez,Carlos,1974-05-03,51.0,Agente,2021-05-18,4.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00090,Operativa,,2024-10-15,
91,2025-04-25,Departamental Nº 1 Zona Norte (Capital),Capital,3.0,1.0,9.0,LEG0091,37089171,García,Luis,1972-04-23,53.0,Sargento Primero,2013-07-07,12.0,Activo,,Próximo a retiro,Pistola,IWI,ARM-00091,Operativa,,2025-01-25,
92,2025-06-29,Departamental Nº 13 Añatuya,Añatuya,5.0,1.0,5.0,LEG0092,32429667,García,Lucía,1985-09-16,40.0,Agente,2011-12-05,14.0,Activo,3854-XXXXXX,En licencia médica,Pistola,Bersa,ARM-00092,Operativa,,2025-01-22,
93,2024-10-26,Departamental Nº 12 Quimilí,Quimilí,3.0,0.0,6.0,LEG0093,20019675,Sánchez,Lucía,1977-05-27,48.0,Agente,2015-05-29,10.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00093,Operativa,,2024-03-06,
94,2025-10-04,Departamental Nº 4 Zona Oeste (La Banda),La Banda,3.0,1.0,4.0,LEG0094,32124052,Romero,Lucía,1981-06-15,44.0,Cabo Primero,2012-08-01,13.0,Activo,,,Pistola,IWI,ARM-00094,Operativa,,2024-10-26,
95,2024-12-24,Departamental Nº 3 Zona Sur (Capital),Capital,,1.0,9.0,LEG0095,36983703,Gómez,Lucía,1998-08-07,27.0,Sargento,2018-05-21,7.0,Activo,,,Escopeta,Glock,ARM-00095,Operativa,,2024-08-19,
96,2025-10-03,Departamental Nº 16 Los Flores (Capital),Capital,4.0,0.0,8.0,LEG0096,41825215,López,Juan,1967-09-11,58.0,Agente,2011-09-03,14.0,Activo,3854-XXXXXX,En licencia médica,Pistola,Remington,ARM-00096,Operativa,Requiere revisión anual,2025-06-28,
97,2025-03-25,Departamental Nº 4 Zona Oeste (La Banda),La Banda,5.0,0.0,3.0,LEG0097,44159219,López,María,1997-09-18,28.0,Cabo,2014-04-27,,Activo,3855-XXXXXX,,Pistola,Glock,ARM-00097,Operativa,Desgaste en cañón,2024-08-11,
